nm	n	k				
290	2.176122	0.008644				
291	2.174238	0.008487				
292	2.17238	0.008333				
293	2.170546	0.008183				
294	2.168737	0.008037				
295	2.166953	0.007894				
296	2.165191	0.007755				
297	2.163453	0.00762				
298	2.161738	0.007487				
299	2.160046	0.007358				
300	2.158375	0.007232				
301	2.156726	0.007109				
302	2.155098	0.006989				
303	2.153491	0.006872				
304	2.151905	0.006758				
305	2.150338	0.006646				
306	2.148792	0.006537				
307	2.147265	0.00643				
308	2.145757	0.006326				
309	2.144267	0.006225				
310	2.142797	0.006125				
311	2.141344	0.006028				
312	2.139909	0.005933				
313	2.138492	0.00584				
314	2.137092	0.005749				
315	2.135709	0.005661				
316	2.134342	0.005574				
317	2.132992	0.005489				
318	2.131658	0.005406				
319	2.13034	0.005325				
320	2.129038	0.005245				
321	2.12775	0.005167				
322	2.126478	0.005091				
323	2.125221	0.005017				
324	2.123979	0.004944				
325	2.12275	0.004872				
326	2.121536	0.004802				
327	2.120336	0.004734				
328	2.11915	0.004667				
329	2.117977	0.004601				
330	2.116817	0.004537				
331	2.11567	0.004474				
332	2.114537	0.004412				
333	2.113415	0.004352				
334	2.112307	0.004292				
335	2.11121	0.004234				
336	2.110126	0.004177				
337	2.109054	0.004121				
338	2.107993	0.004067				
339	2.106944	0.004013				
340	2.105906	0.00396				
341	2.10488	0.003909				
342	2.103865	0.003858				
343	2.10286	0.003808				
344	2.101866	0.00376				
345	2.100883	0.003712				
346	2.09991	0.003665				
347	2.098948	0.003619				
348	2.097995	0.003574				
349	2.097052	0.00353				
350	2.09612	0.003486				
351	2.095196	0.003444				
352	2.094283	0.003402				
353	2.093379	0.003361				
354	2.092484	0.00332				
355	2.091598	0.003281				
356	2.090722	0.003242				
357	2.089854	0.003203				
358	2.088995	0.003166				
359	2.088144	0.003129				
360	2.087302	0.003093				
361	2.086469	0.003057				
362	2.085644	0.003022				
363	2.084826	0.002988				
364	2.084018	0.002954				
365	2.083216	0.002921				
366	2.082423	0.002888				
367	2.081638	0.002856				
368	2.08086	0.002824				
369	2.08009	0.002793				
370	2.079327	0.002763				
371	2.078571	0.002733				
372	2.077823	0.002703				
373	2.077082	0.002674				
374	2.076348	0.002646				
375	2.07562	0.002618				
376	2.0749	0.00259				
377	2.074187	0.002563				
378	2.07348	0.002537				
379	2.072779	0.00251				
380	2.072086	0.002484				
381	2.071398	0.002459				
382	2.070717	0.002434				
383	2.070043	0.002409				
384	2.069374	0.002385				
385	2.068712	0.002361				
386	2.068055	0.002338				
387	2.067405	0.002315				
388	2.066761	0.002292				
389	2.066122	0.00227				
390	2.065489	0.002247				
391	2.064862	0.002226				
392	2.06424	0.002204				
393	2.063624	0.002183				
394	2.063013	0.002163				
395	2.062407	0.002142				
396	2.061808	0.002122				
397	2.061213	0.002102				
398	2.060623	0.002083				
399	2.060039	0.002063				
400	2.05946	0.002044				
401	2.058885	0.002026				
402	2.058316	0.002007				
403	2.057751	0.001989				
404	2.057192	0.001971				
405	2.056637	0.001954				
406	2.056087	0.001936				
407	2.055542	0.001919				
408	2.055001	0.001902				
409	2.054465	0.001886				
410	2.053933	0.001869				
411	2.053406	0.001853				
412	2.052883	0.001837				
413	2.052364	0.001822				
414	2.05185	0.001806				
415	2.05134	0.001791				
416	2.050834	0.001776				
417	2.050333	0.001761				
418	2.049835	0.001746				
419	2.049342	0.001732				
420	2.048852	0.001717				
421	2.048367	0.001703				
422	2.047885	0.001689				
423	2.047408	0.001676				
424	2.046934	0.001662				
425	2.046464	0.001649				
426	2.045998	0.001636				
427	2.045536	0.001623				
428	2.045077	0.00161				
429	2.044621	0.001597				
430	2.04417	0.001585				
431	2.043722	0.001572				
432	2.043278	0.00156				
433	2.042837	0.001548				
434	2.042399	0.001536				
435	2.041965	0.001525				
436	2.041534	0.001513				
437	2.041107	0.001502				
438	2.040683	0.001491				
439	2.040262	0.001479				
440	2.039844	0.001468				
441	2.03943	0.001458				
442	2.039018	0.001447				
443	2.03861	0.001436				
444	2.038205	0.001426				
445	2.037803	0.001416				
446	2.037404	0.001405				
447	2.037009	0.001395				
448	2.036615	0.001385				
449	2.036225	0.001376				
450	2.035838	0.001366				
451	2.035454	0.001356				
452	2.035073	0.001347				
453	2.034694	0.001337				
454	2.034318	0.001328				
455	2.033945	0.001319				
456	2.033575	0.00131				
457	2.033207	0.001301				
458	2.032843	0.001292				
459	2.03248	0.001284				
460	2.032121	0.001275				
461	2.031764	0.001266				
462	2.03141	0.001258				
463	2.031058	0.00125				
464	2.030708	0.001242				
465	2.030361	0.001233				
466	2.030017	0.001225				
467	2.029675	0.001217				
468	2.029335	0.00121				
