["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9217465256410256e+14 7.4024229436213994e-03 8.7583799813746810e-01
1.9230600912771438e+14 7.1930315943453350e-03 1.1709767641382924e+00
1.9243736569132622e+14 6.9328924429370208e-03 1.4650052456837408e+00
1.9256872225493803e+14 6.6268868722806455e-03 1.7576868288531813e+00
1.9270007881854988e+14 6.2800025239554439e-03 2.0488156828896988e+00
1.9283143538216169e+14 5.8970577600530377e-03 2.3382033617512237e+00
1.9296279194577353e+14 5.4824718417281586e-03 2.6256533024289115e+00
1.9309414850938534e+14 5.0401004884776546e-03 2.9109151867733440e+00
1.9322550507299719e+14 4.5731538091563903e-03 3.1936046454462574e+00
1.9335686163660900e+14 4.0842112544042294e-03 3.4730590896952318e+00
1.9348821820022084e+14 3.5753503509685413e-03 3.7480642801200648e+00
1.9361957476383266e+14 3.0484245404490051e-03 4.0162884888176267e+00
1.9375093132744450e+14 2.5056004059132351e-03 4.2729634647734240e+00
1.9388228789105631e+14 1.9505600325715644e-03 4.5072877636650670e+00
1.9401364445466816e+14 1.3921690160204232e-03 4.6903170863262602e+00
1.9414500101827997e+14 8.6152436726205899e-04 4.7213485139062792e+00
1.9427635758189181e+14 5.2639174394825117e-04 4.2247893654234439e+00
1.9440771414550362e+14 7.7163944764950098e-04 3.5747878073334229e+00
1.9453907070911547e+14 1.3182112065327101e-03 3.5407489529575380e+00
1.9467042727272728e+14 1.9304452641192868e-03 3.7108578848756308e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.9217465256410256e+14 1.4935374643718891e-03 -1.0870070401527382e-03
1.9230600912771438e+14 1.6293694324631327e-03 5.3630536151144748e-01
1.9243736569132622e+14 1.7545160066583323e-03 1.0929837112918024e+00
1.9256872225493803e+14 1.8647124373532761e-03 1.6637118383253464e+00
1.9270007881854988e+14 1.9575096983980170e-03 2.2447339490267963e+00
1.9283143538216169e+14 2.0317686255287267e-03 2.8333119635129393e+00
1.9296279194577353e+14 2.0873211042755089e-03 3.4273807899211151e+00
1.9309414850938534e+14 2.1247234066067750e-03 4.0253114382751782e+00
1.9322550507299719e+14 2.1450621043350693e-03 4.6257520543513477e+00
1.9335686163660900e+14 2.1497968343956184e-03 5.2275221583526896e+00
1.9348821820022084e+14 2.1406362843021708e-03 5.8295440242341066e+00
1.9361957476383266e+14 2.1194467461343328e-03 6.4308018691038855e+00
1.9375093132744450e+14 2.0881903682927984e-03 7.0303235303376717e+00
1.9388228789105631e+14 2.0488867691111448e-03 7.6271811769635782e+00
1.9401364445466816e+14 2.0035895213365413e-03 8.2205083600723938e+00
1.9414500101827997e+14 1.9543686410420672e-03 8.8095312416298235e+00
1.9427635758189181e+14 1.9032905883483485e-03 9.3936123887943985e+00
1.9440771414550362e+14 1.8523873439223464e-03 9.9723054380152441e+00
1.9453907070911547e+14 1.8036060877849576e-03 1.0545417006264817e+01
1.9467042727272728e+14 1.7587326364169893e-03 1.1113067605687412e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.9217465256410256e+14 9.5234146881742554e-01 -1.2993789495387735e+00
1.9230600912771438e+14 9.5295705384576068e-01 -9.5196890550262814e-01
1.9243736569132622e+14 9.5355839468513426e-01 -6.0390863527349747e-01
1.9256872225493803e+14 9.5414788181809729e-01 -2.5520143000565265e-01
1.9270007881854988e+14 9.5472845923951744e-01 9.4151267563990726e-02
1.9283143538216169e+14 9.5530244308868228e-01 4.4414980649918484e-01
1.9296279194577353e+14 9.5587062446313076e-01 7.9479553107184964e-01
1.9309414850938534e+14 9.5643202996411780e-01 1.1460895894701359e+00
1.9322550507299719e+14 9.5698442964847841e-01 1.4980318586872177e+00
1.9335686163660900e+14 9.5752536079651884e-01 1.8506204403888709e+00
1.9348821820022084e+14 9.5805321718984371e-01 2.2038519303141997e+00
1.9361957476383266e+14 9.5856793216749481e-01 2.5577223265223745e+00
1.9375093132744450e+14 9.5907096753468135e-01 2.9122281673982937e+00
1.9388228789105631e+14 9.5956462707442114e-01 3.2673673978490281e+00
1.9401364445466816e+14 9.6005100716664393e-01 3.6231395894577534e+00
1.9414500101827997e+14 9.6053104953699886e-01 3.9795454281860474e+00
1.9427635758189181e+14 9.6100410850307039e-01 4.3365857028516901e+00
1.9440771414550362e+14 9.6146821461496312e-01 4.6942602391195329e+00
1.9453907070911547e+14 9.6192091274631997e-01 5.0525672377458992e+00
1.9467042727272728e+14 9.6236030939442863e-01 5.4115032914409049e+00
