["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TM",2,"port 1",2,"transmission")
(50, 3)
1.8737028625000000e+14 3.3870861822748330e-02 -2.2101464846797927e+00
1.8762521180952381e+14 3.3646333558139792e-02 -2.0940717301815504e+00
1.8788013736904762e+14 3.3823057527259129e-02 -1.9896662853656391e+00
1.8813506292857144e+14 3.4566725243098735e-02 -1.8771172473488089e+00
1.8838998848809525e+14 3.5313283631306147e-02 -1.7419843185805390e+00
1.8864491404761903e+14 3.5275745356079691e-02 -1.5919517841941111e+00
1.8889983960714284e+14 3.4244924795122193e-02 -1.4512062162224986e+00
1.8915476516666666e+14 3.2929323759231258e-02 -1.3408097237403087e+00
1.8940969072619047e+14 3.2412638814160899e-02 -1.2533978293173784e+00
1.8966461628571428e+14 3.2934879017789263e-02 -1.1513421956102547e+00
1.8991954184523809e+14 3.3459616049907555e-02 -1.0098683363822116e+00
1.9017446740476191e+14 3.2754013886912833e-02 -8.4410931795663702e-01
1.9042939296428572e+14 3.0601236035210609e-02 -6.9382706975877062e-01
1.9068431852380953e+14 2.8132496366236857e-02 -5.9485260918775984e-01
1.9093924408333334e+14 2.6945140152261751e-02 -5.3583731594265982e-01
1.9119416964285712e+14 2.7233927080920099e-02 -4.4996775735720346e-01
1.9144909520238094e+14 2.7399073648408170e-02 -2.9971766916195247e-01
1.9170402076190475e+14 2.5903013434858548e-02 -1.1487152805039214e-01
1.9195894632142856e+14 2.2688825337684834e-02 4.0779136753252579e-02
1.9221387188095238e+14 1.9351155729251026e-02 1.0310400816486125e-01
1.9246879744047619e+14 1.7935285440175454e-02 9.2896069105551912e-02
1.9272372300000000e+14 1.8261028470081216e-02 1.4586561733027165e-01
1.9297864855952381e+14 1.8036449867243468e-02 3.0879720228371088e-01
1.9323357411904762e+14 1.5779514081830894e-02 5.1029955071372668e-01
1.9348849967857144e+14 1.1937301858996567e-02 6.2618396216689154e-01
1.9374342523809522e+14 8.9150783977760498e-03 4.8740129926810788e-01
1.9399835079761903e+14 9.1164363063614192e-03 2.5947199676737404e-01
1.9425327635714284e+14 1.0289490685701053e-02 2.9980993847782544e-01
1.9450820191666666e+14 9.6607376971199511e-03 4.7292007271993336e-01
1.9476312747619047e+14 7.0805421733962041e-03 5.3437239700628747e-01
1.9501805303571428e+14 5.3834885514726519e-03 1.1118962250843525e-01
1.9527297859523809e+14 7.7733801913329528e-03 -2.2681517975371598e-01
1.9552790415476191e+14 1.0624346435308511e-02 -1.1248797370096440e-01
1.9578282971428572e+14 1.1490693443758413e-02 9.6681749553335042e-02
1.9603775527380953e+14 1.0464763766750373e-02 2.0981021761554638e-01
1.9629268083333331e+14 9.7229043280614470e-03 1.0739595536482735e-01
1.9654760639285712e+14 1.1547282373230338e-02 -8.7635032141829966e-03
1.9680253195238094e+14 1.4496454074671860e-02 8.5169918629895411e-02
1.9705745751190475e+14 1.6199358974574564e-02 2.9041212171961683e-01
1.9731238307142856e+14 1.5913284600176224e-02 4.8342925843376267e-01
1.9756730863095238e+14 1.4651108135621135e-02 5.7194307962968427e-01
1.9782223419047619e+14 1.4510838704886632e-02 5.5485434247728227e-01
1.9807715975000000e+14 1.6211478348616380e-02 5.8259349100415014e-01
1.9833208530952381e+14 1.8077246953877364e-02 7.2521433586356443e-01
1.9858701086904762e+14 1.8523916096276610e-02 9.1863950659812643e-01
1.9884193642857141e+14 1.7438758146664884e-02 1.0798404926311074e+00
1.9909686198809522e+14 1.6097750324787684e-02 1.1524493305137127e+00
1.9935178754761903e+14 1.6030111317827989e-02 1.1723507419665493e+00
1.9960671310714284e+14 1.7117535722495705e-02 1.2478062057250547e+00
1.9986163866666666e+14 1.7875253982303312e-02 1.4018796925105703e+00
("port 1","TM",2,"port 2",2,"transmission")
(50, 3)
1.8737028625000000e+14 4.1098578471848535e-01 1.1888556780440003e+00
1.8762521180952381e+14 4.2165696585483298e-01 1.7616496224189611e+00
1.8788013736904762e+14 4.3227400976344921e-01 2.3351356528998974e+00
1.8813506292857144e+14 4.4295875500519943e-01 2.9099236513436062e+00
1.8838998848809525e+14 4.5354451532490908e-01 3.4865267298765370e+00
1.8864491404761903e+14 4.6376400065653745e-01 4.0649268725947394e+00
1.8889983960714284e+14 4.7344219036603880e-01 4.6447662345364353e+00
1.8915476516666666e+14 4.8255924144139134e-01 5.2255884406008279e+00
1.8940969072619047e+14 4.9128032722482096e-01 5.8071450353895866e+00
1.8966461628571428e+14 4.9978592650569764e-01 6.3896679417953788e+00
1.8991954184523809e+14 5.0806231281076319e-01 6.9735815805505794e+00
1.9017446740476191e+14 5.1593563404455312e-01 7.5591041575504123e+00
1.9042939296428572e+14 5.2319439203037466e-01 8.1461269399738399e+00
1.9068431852380953e+14 5.2974732770459254e-01 8.7342590593287408e+00
1.9093924408333334e+14 5.3572058253416233e-01 9.3232022168988316e+00
1.9119416964285712e+14 5.4129825529397979e-01 9.9130571388927606e+00
1.9144909520238094e+14 5.4653709356620050e-01 1.0504191562875953e+01
1.9170402076190475e+14 5.5129310449686697e-01 1.1096987548549601e+01
1.9195894632142856e+14 5.5524948014790831e-01 1.1691496463343746e+01
1.9221387188095238e+14 5.5816381527577974e-01 1.2287275120773465e+01
1.9246879744047619e+14 5.6007345954261700e-01 1.2883760106378169e+01
1.9272372300000000e+14 5.6122228261741902e-01 1.3480703380665739e+01
1.9297864855952381e+14 5.6184856661384508e-01 1.4078330322528922e+01
1.9323357411904762e+14 5.6195216551828298e-01 1.4677136142716730e+01
1.9348849967857144e+14 5.6127866057919940e-01 1.5277376449204912e+01
1.9374342523809522e+14 5.5955179159544421e-01 1.5878834062662417e+01
1.9399835079761903e+14 5.5667251303179177e-01 1.6480954557837936e+01
1.9425327635714284e+14 5.5284130918676677e-01 1.7083181916763390e+01
1.9450820191666666e+14 5.4844246876048497e-01 1.7685500746700104e+01
1.9476312747619047e+14 5.4364874659993778e-01 1.8288482904522109e+01
1.9501805303571428e+14 5.3826018085531135e-01 1.8892636034294956e+01
1.9527297859523809e+14 5.3192902719630331e-01 1.9497874609319766e+01
1.9552790415476191e+14 5.2450716980373313e-01 2.0103510075987657e+01
1.9578282971428572e+14 5.1625540898932953e-01 2.0708838665183009e+01
1.9603775527380953e+14 5.0762304823154536e-01 2.1313852507921446e+01
1.9629268083333331e+14 4.9883802202993455e-01 2.1919211410881040e+01
1.9654760639285712e+14 4.8974454939456585e-01 2.2525646538749839e+01
1.9680253195238094e+14 4.7993241252050473e-01 2.3133268905001206e+01
1.9705745751190475e+14 4.6916461748825639e-01 2.3741263668891769e+01
1.9731238307142856e+14 4.5771838949145288e-01 2.4348650142690257e+01
1.9756730863095238e+14 4.4613259305681324e-01 2.4955342623155442e+01
1.9782223419047619e+14 4.3468779266937474e-01 2.5562227772689987e+01
1.9807715975000000e+14 4.2316170094109767e-01 2.6170286740189244e+01
1.9833208530952381e+14 4.1106925412332052e-01 2.6779501801696878e+01
1.9858701086904762e+14 3.9822019589804453e-01 2.7388715335196231e+01
1.9884193642857141e+14 3.8495228978786011e-01 2.7996767775273845e+01
1.9909686198809522e+14 3.7180680906329772e-01 2.8603589132589718e+01
1.9935178754761903e+14 3.5904412256765533e-01 2.9210283903558789e+01
1.9960671310714284e+14 3.4638575376123382e-01 2.9818072801437356e+01
1.9986163866666666e+14 3.3330525408504674e-01 3.0426818736572784e+01
("port 2","TM",2,"port 1",2,"transmission")
(50, 3)
1.8737028625000000e+14 3.9278753019048035e-01 1.2190080881360557e+00
1.8762521180952381e+14 4.0527893088121664e-01 1.7884907298322672e+00
1.8788013736904762e+14 4.1763707406021688e-01 2.3595929035448417e+00
1.8813506292857144e+14 4.2980043554127950e-01 2.9322785160929432e+00
1.8838998848809525e+14 4.4171427380590444e-01 3.5064810212208419e+00
1.8864491404761903e+14 4.5333815415332640e-01 4.0821311348433102e+00
1.8889983960714284e+14 4.6464440867749263e-01 4.6591811145584057e+00
1.8915476516666666e+14 4.7561017633915398e-01 5.2376138694784551e+00
1.8940969072619047e+14 4.8620872289297290e-01 5.8174352256405930e+00
1.8966461628571428e+14 4.9640511940724968e-01 6.3986569460373701e+00
1.8991954184523809e+14 5.0615793007885945e-01 6.9812814484571923e+00
1.9017446740476191e+14 5.1542484838050895e-01 7.5652960118966837e+00
1.9042939296428572e+14 5.2416825838455727e-01 8.1506779725228871e+00
1.9068431852380953e+14 5.3235695468218058e-01 8.7374066535079926e+00
1.9093924408333334e+14 5.3996227593444723e-01 9.3254744392007574e+00
1.9119416964285712e+14 5.4695002036126916e-01 9.9148894332516004e+00
1.9144909520238094e+14 5.5327247744581465e-01 1.0505666188449398e+01
1.9170402076190475e+14 5.5886577829890260e-01 1.1097807890044473e+01
1.9195894632142856e+14 5.6365531898771248e-01 1.1691289052648109e+01
1.9221387188095238e+14 5.6756750280502943e-01 1.2286047958099585e+01
1.9246879744047619e+14 5.7054263721844112e-01 1.2881992498578603e+01
1.9272372300000000e+14 5.7254369959855023e-01 1.3479016186472762e+01
1.9297864855952381e+14 5.7355815924248776e-01 1.4077017409715422e+01
1.9323357411904762e+14 5.7359286730451331e-01 1.4675915150381606e+01
1.9348849967857144e+14 5.7266405730481329e-01 1.5275656047554353e+01
1.9374342523809522e+14 5.7078611344757813e-01 1.5876209768612815e+01
1.9399835079761903e+14 5.6796391062428864e-01 1.6477553337275030e+01
1.9425327635714284e+14 5.6419278972473952e-01 1.7079650537139745e+01
1.9450820191666666e+14 5.5946668669405319e-01 1.7682436498147094e+01
1.9476312747619047e+14 5.5379027911930412e-01 1.8285816017234335e+01
1.9501805303571428e+14 5.4718861703446153e-01 1.8889677059882153e+01
1.9527297859523809e+14 5.3970934128860915e-01 1.9493913026663414e+01
1.9552790415476191e+14 5.3141676714047026e-01 2.0098443797617048e+01
1.9578282971428572e+14 5.2238083971810134e-01 2.0703227252141680e+01
1.9603775527380953e+14 5.1266558387662919e-01 2.1308257351974319e+01
1.9629268083333331e+14 5.0232140366818223e-01 2.1913549538344650e+01
1.9654760639285712e+14 4.9138409564679231e-01 2.2519118440703135e+01
1.9680253195238094e+14 4.7988093100354939e-01 2.3124956161333497e+01
1.9705745751190475e+14 4.6784110667606216e-01 2.3731019942119371e+01
1.9731238307142856e+14 4.5530566075156831e-01 2.4337234418056724e+01
1.9756730863095238e+14 4.4233206030929295e-01 2.4943507081111196e+01
1.9782223419047619e+14 4.2899122267050871e-01 2.5549749464738102e+01
1.9807715975000000e+14 4.1535830620884823e-01 2.6155894028572881e+01
1.9833208530952381e+14 4.0150139134167423e-01 2.6761898677836935e+01
1.9858701086904762e+14 3.8747303557838497e-01 2.7367736259859331e+01
1.9884193642857141e+14 3.7330839263054694e-01 2.7973373196894396e+01
1.9909686198809522e+14 3.5903065817858759e-01 2.8578746886702532e+01
1.9935178754761903e+14 3.4466129691427477e-01 2.9183752793982784e+01
1.9960671310714284e+14 3.3023043687555687e-01 2.9788248149556029e+01
1.9986163866666666e+14 3.1578301295147260e-01 3.0392071805794952e+01
("port 2","TM",2,"port 2",2,"transmission")
(50, 3)
1.8737028625000000e+14 7.6631775902468446e-02 1.7793893453694236e+00
1.8762521180952381e+14 8.4882793010248092e-02 2.7107992218173047e+00
1.8788013736904762e+14 8.4303996215178853e-02 3.6100351420561125e+00
1.8813506292857144e+14 7.5367937123033441e-02 4.5514240027517818e+00
1.8838998848809525e+14 6.4706090605508484e-02 5.6022970628638262e+00
1.8864491404761903e+14 6.0947555021089443e-02 6.7465404932624953e+00
1.8889983960714284e+14 6.5303471366660260e-02 7.8301939168829504e+00
1.8915476516666666e+14 7.0763157670769836e-02 8.7860482124538031e+00
1.8940969072619047e+14 7.2078975858746452e-02 9.6739343311304946e+00
1.8966461628571428e+14 6.8683792137381294e-02 1.0576958346419797e+01
1.8991954184523809e+14 6.3442710454105614e-02 1.1569485331446570e+01
1.9017446740476191e+14 6.1499483474433056e-02 1.2669736363953177e+01
1.9042939296428572e+14 6.5770663122730541e-02 1.3786470372166839e+01
1.9068431852380953e+14 7.2672099444387891e-02 1.4833153351592888e+01
1.9093924408333334e+14 7.6734062944022421e-02 1.5824736847137721e+01
1.9119416964285712e+14 7.5711512856325228e-02 1.6814737151948798e+01
1.9144909520238094e+14 7.1379697628728062e-02 1.7846774235808386e+01
1.9170402076190475e+14 6.7885599374138572e-02 1.8928510765430392e+01
1.9195894632142856e+14 6.8127112601102824e-02 2.0016550943544040e+01
1.9221387188095238e+14 7.1286303563017295e-02 2.1063681669537569e+01
1.9246879744047619e+14 7.4672464922288281e-02 2.2072170114049367e+01
1.9272372300000000e+14 7.6435335077343472e-02 2.3073928983711678e+01
1.9297864855952381e+14 7.6461951005796280e-02 2.4096547359299599e+01
1.9323357411904762e+14 7.5926328518411745e-02 2.5150431957612682e+01
1.9348849967857144e+14 7.6114783322187587e-02 2.6228734752767789e+01
1.9374342523809522e+14 7.7466036154919385e-02 2.7315020174952757e+01
1.9399835079761903e+14 7.9484955375856620e-02 2.8392773779722713e+01
1.9425327635714284e+14 8.1194971884865394e-02 2.9451014405762376e+01
1.9450820191666666e+14 8.1626696777424138e-02 3.0488969972414058e+01
1.9476312747619047e+14 8.0318533930284500e-02 3.1520156734579714e+01
1.9501805303571428e+14 7.7869913725583301e-02 3.2568966564742162e+01
1.9527297859523809e+14 7.6204842618314755e-02 3.3652873449808709e+01
1.9552790415476191e+14 7.7518483433839561e-02 3.4756292004247349e+01
1.9578282971428572e+14 8.1775063010315244e-02 3.5837418211412540e+01
1.9603775527380953e+14 8.5992413164401260e-02 3.6878147721124350e+01
1.9629268083333331e+14 8.6803326876370809e-02 3.7902927502497718e+01
1.9654760639285712e+14 8.3492087763497105e-02 3.8957063597723810e+01
1.9680253195238094e+14 7.9472088756226966e-02 4.0074274368872189e+01
1.9705745751190475e+14 7.9908189775784136e-02 4.1226629634430857e+01
1.9731238307142856e+14 8.5330455186663545e-02 4.2332106850038194e+01
1.9756730863095238e+14 9.0554832496185636e-02 4.3362122612269033e+01
1.9782223419047619e+14 9.0613739112339636e-02 4.4360720036261803e+01
1.9807715975000000e+14 8.5099441734591524e-02 4.5396056716270124e+01
1.9833208530952381e+14 7.9494138141852300e-02 4.6520927074652377e+01
1.9858701086904762e+14 8.1367700609578264e-02 4.7696616409690080e+01
1.9884193642857141e+14 9.0483852715277258e-02 4.8807381692143807e+01
